Posicao,ID_Beneficiario,Pessoas_Atendidas,Capacidade,Dias_Autonomia,Manancial_Alocado
368,1237,6,16.0,133.33,57
369,1238,6,16.0,133.33,30
370,3049,6,16.0,133.33,16
371,352,6,16.0,133.33,44
372,2944,6,16.0,133.33,11
373,2035,6,16.0,133.33,8
374,1208,6,16.0,133.33,19
375,435,6,16.0,133.33,24
376,1957,6,16.0,133.33,91
377,450,6,16.0,133.33,85
378,949,6,16.0,133.33,80
379,3173,6,16.0,133.33,43
380,2793,6,16.0,133.33,84
381,2532,6,16.0,133.33,31
382,1556,15,40.0,133.33,4
383,2397,6,16.0,133.33,54
384,167,6,16.0,133.33,79
385,172,6,16.0,133.33,72
386,1594,6,16.0,133.33,92
387,1202,6,16.0,133.33,33
388,1953,6,16.0,133.33,65
389,2918,6,16.0,133.33,49
390,2917,6,16.0,133.33,63
391,1199,6,16.0,133.33,91
392,1269,6,16.0,133.33,32
393,2317,6,16.0,133.33,3
394,2506,6,16.0,133.33,72
395,2524,6,16.0,133.33,55
396,3058,6,16.0,133.33,60
397,2623,6,16.0,133.33,37
398,2619,6,16.0,133.33,71
399,3239,6,16.0,133.33,51
400,2661,6,16.0,133.33,10
401,91,6,16.0,133.33,37
402,2880,6,16.0,133.33,68
403,572,6,16.0,133.33,40
404,2870,6,16.0,133.33,85
405,1390,6,16.0,133.33,6
406,1871,6,16.0,133.33,91
407,256,6,16.0,133.33,25
408,254,6,16.0,133.33,76
409,924,6,16.0,133.33,61
410,886,6,16.0,133.33,4
411,2893,6,16.0,133.33,83
412,1490,6,16.0,133.33,90
413,2118,6,16.0,133.33,75
414,1460,6,16.0,133.33,90
415,1988,6,16.0,133.33,40
416,2153,6,16.0,133.33,35
417,492,6,16.0,133.33,15
418,1732,6,16.0,133.33,61
419,489,6,16.0,133.33,23
420,1125,6,16.0,133.33,33
421,1254,6,16.0,133.33,49
422,1283,6,16.0,133.33,78
423,1724,6,16.0,133.33,58
424,1899,6,16.0,133.33,16
425,160,6,16.0,133.33,3
426,155,6,16.0,133.33,14
427,1379,6,16.0,133.33,92
428,1368,6,16.0,133.33,52
429,2696,6,16.0,133.33,53
